column	row	N	corrected-left-p-value	corrected-right-p-value	corrected-two-tail-p-value	distribution	expected-mean	expected-stdev	left-p-value	observed	probability	right-p-value	two-tail-p-value
lymph nodes	Androgen and estrogen metabolism	44	0.9066863562931485	1	1	BINOMIAL	3.548207975769813	1.8061219825320067	0.5213446548685604	3	0.08064109035840485	0.6997493694780565	1
stomach	Androgen and estrogen metabolism	40	1	1	1	BINOMIAL	1.875966328809483	1.3371555957100916	0.7110725956803671	2	0.046899158220237075	0.5654312122273547	1
HR systems	Androgen and estrogen metabolism	44	0.7979805294428856	1	1	BINOMIAL	2.0723974369643003	1.405271375358551	0.11969707941643284	0	0.04709994174918865	1	1
thyroid gland	Androgen and estrogen metabolism	43	1	1	1	BINOMIAL	1.805207841284837	1.3150750427346451	0.4561614573293751	1	0.041981577704298535	0.8418475224332428	1
pancreas	Androgen and estrogen metabolism	43	1	1	1	BINOMIAL	1.1051456575006806	1.0376619105742806	0.3264118055564802	0	0.02570106180234141	1	1
prostate gland	Androgen and estrogen metabolism	45	1	1	1	BINOMIAL	1.8588454910970709	1.3349385382405878	0.8857308524149661	3	0.04130767757993491	0.284329551146754	1
skin	Starch and sucrose metabolism	47	1	0.03646793306896369	1	BINOMIAL	5.825032793128253	2.2590034247664526	0.9962026533414532	12	0.12393686793889899	0.010484530757327061	1
liver	Starch and sucrose metabolism	39	1	7.956107193224823E-4	1	BINOMIAL	4.044461190655614	1.9039521656405718	0.9999799686550074	13	0.10370413309373369	9.567470675396939E-5	1
testis	Starch and sucrose metabolism	47	1	1	1	BINOMIAL	4.46853997682503	2.0108933623148637	0.33509448923584906	3	0.09507531865585168	0.8367230114138702	1
kidney	Starch and sucrose metabolism	47	1	0.8302848381164412	1	BINOMIAL	3.8342994964668047	1.8765644463727031	0.8181029486782141	5	0.08158084035035755	0.33730321548480424	1
adrenal cortex	Starch and sucrose metabolism	47	1	0.5549039797430468	1	BINOMIAL	7.028223247154403	2.444840727547025	0.8445704488957048	9	0.1495366648330724	0.26357939037794725	1
brain, nos	Starch and sucrose metabolism	47	1	1	1	BINOMIAL	4.653662251935852	2.047653319466241	0.4968623391870767	4	0.09901409046672026	0.6967671993070741	1
colon, nos	Starch and sucrose metabolism	48	0.7531527967565492	1	1	BINOMIAL	4.17575046117726	1.9525577788211883	0.07060807469592649	1	0.08699480127452625	0.987331767611218	1
ovary	Starch and sucrose metabolism	43	1	0.4535143990964471	1	BINOMIAL	3.5863781946532454	1.8130800840135646	0.9364487887662517	6	0.08340414406170338	0.1453571791975792	1
urinary bladder	Starch and sucrose metabolism	44	1	0.0063917893857201955	1	BINOMIAL	2.936576283021064	1.6554721668325887	0.9998863115869804	10	0.06674037006866054	5.292564459513537E-4	1
breast	Starch and sucrose metabolism	49	1	1	1	BINOMIAL	1.7622220438307779	1.3033978641083246	0.7419201043231918	2	0.03596371518021996	0.5300525867812594	1
lung	Starch and sucrose metabolism	49	1	5.7292507177738954E-5	1	BINOMIAL	1.1901172529313233	1.0775952660940786	0.9999997534284085	9	0.024288107202680067	2.5065471890260793E-6	1
bones and joints	Starch and sucrose metabolism	43	0.5339489794781869	1	1	BINOMIAL	4.0838616903065565	1.9224991388852726	0.013690999473799663	0	0.09497352768154782	1	1
cervix uteri	Starch and sucrose metabolism	47	1	1	1	BINOMIAL	2.79617484026573	1.6216725261360747	0.6942754155875535	3	0.05949308170778149	0.5354685481449816	1
mouth, nos	Starch and sucrose metabolism	48	1	1	1	BINOMIAL	1.576844262295082	1.2349265055951628	0.5293059883570495	1	0.03285092213114754	0.7987739234737956	1
